epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.9034097790718079,0.9509550929069519,0.2504507005214691,0.9143841862678528,0.9662033319473267,0.22196856141090393
1,0.9218464493751526,0.9716277718544006,0.19523078203201294,0.9294707775115967,0.9787607192993164,0.17126186192035675
2,0.9276742339134216,0.9760741591453552,0.1798781007528305,0.9286203384399414,0.9814682006835938,0.16507601737976074
3,0.9323201775550842,0.9784187078475952,0.17028559744358063,0.9375110268592834,0.9827309250831604,0.15657025575637817
4,0.9347572922706604,0.9798709750175476,0.16415590047836304,0.9377982020378113,0.9838517308235168,0.15129737555980682
5,0.936863124370575,0.9810367822647095,0.15932676196098328,0.9358212351799011,0.9831988215446472,0.1552550196647644
6,0.9386522769927979,0.9819769859313965,0.15520861744880676,0.9404930472373962,0.9829300045967102,0.15093186497688293
7,0.9403089284896851,0.9826708436012268,0.1517043262720108,0.9374778866767883,0.9819470047950745,0.16015951335430145
8,0.9412955641746521,0.9832122921943665,0.1488884687423706,0.9382731318473816,0.9830120801925659,0.15434515476226807
9,0.9424000382423401,0.983887255191803,0.1461382508277893,0.9415201544761658,0.984659731388092,0.14429545402526855
10,0.9432356953620911,0.9843906760215759,0.14405937492847443,0.9412882328033447,0.9843583106994629,0.14547370374202728
11,0.9438063502311707,0.9848021268844604,0.14196546375751495,0.941818356513977,0.9851617813110352,0.14342038333415985
12,0.9444358348846436,0.9850488901138306,0.14074429869651794,0.942569375038147,0.9855064749717712,0.141604945063591
13,0.9452494382858276,0.9855204224586487,0.13815361261367798,0.9425804018974304,0.9835221767425537,0.149661123752594
14,0.9458127021789551,0.9859261512756348,0.13672061264514923,0.9448997378349304,0.9850416779518127,0.14269524812698364
15,0.9460004568099976,0.9862170815467834,0.1353926807641983,0.9416084885597229,0.9845165610313416,0.14614038169384003
16,0.9462913274765015,0.9865345358848572,0.13379354774951935,0.9452973008155823,0.9858884215354919,0.1379682719707489
17,0.9470202326774597,0.9867518544197083,0.13277071714401245,0.9444026947021484,0.9859137535095215,0.13897395133972168
18,0.9472558498382568,0.9869951009750366,0.1313433200120926,0.9426577091217041,0.9857217669487,0.14144885540008545
19,0.9479700326919556,0.9872729182243347,0.130203515291214,0.9452531337738037,0.9843135476112366,0.14593209326267242
20,0.9481762051582336,0.9874904751777649,0.12930044531822205,0.9443033337593079,0.9854300618171692,0.14081205427646637
21,0.9484891295433044,0.9876806735992432,0.12815773487091064,0.9430332183837891,0.985809862613678,0.14086736738681793
22,0.9488903880119324,0.9879453182220459,0.12690486013889313,0.9421386122703552,0.9854169487953186,0.14311683177947998
23,0.9492291212081909,0.9881469011306763,0.12590792775154114,0.9448665976524353,0.9842911958694458,0.1454840451478958
